,0
0,0.8
1,0.454545454545
2,0.409090909091
3,0.363636363636
4,0.4375
5,0.421052631579
6,0.210526315789
7,0.3125
8,0.478260869565
9,0.307692307692
10,0.545454545455
11,0.352941176471
12,0.461538461538
13,0.35
14,0.428571428571
15,1.0
16,0.380952380952
17,0.714285714286
18,0.307692307692
19,0.5
20,0.571428571429
21,0.545454545455
22,0.375
23,0.363636363636
24,0.444444444444
25,0.461538461538
26,0.571428571429
27,0.583333333333
28,0.545454545455
29,0.333333333333
30,0.416666666667
31,0.6
32,1.0
33,0.666666666667
34,0.714285714286
35,1.0
36,0.5
37,0.357142857143
38,0.538461538462
39,0.380952380952
40,0.5
41,0.45
42,0.380952380952
43,0.3125
44,0.304347826087
45,0.363636363636
46,0.538461538462
47,0.4
48,0.666666666667
49,0.363636363636
50,0.571428571429
51,0.363636363636
52,0.5
53,0.47619047619
54,0.5
55,0.5
56,0.411764705882
57,0.461538461538
58,0.714285714286
59,0.28
60,0.428571428571
61,0.666666666667
62,0.529411764706
63,0.714285714286
64,0.5625
65,0.322580645161
66,0.5
67,0.555555555556
68,0.461538461538
69,0.375
70,0.454545454545
71,0.5
72,0.4375
73,0.272727272727
74,0.4
75,0.307692307692
76,0.380952380952
77,0.461538461538
78,0.444444444444
79,0.375
80,0.4
81,0.263157894737
82,0.5
83,1.0
84,0.352941176471
85,0.384615384615
86,0.571428571429
87,0.5
88,0.375
89,0.333333333333
90,0.5
91,3.0
92,0.384615384615
93,0.36
94,0.363636363636
95,0.666666666667
96,0.444444444444
97,0.666666666667
98,0.545454545455
99,0.222222222222
100,0.5625
101,0.411764705882
102,0.275862068966
103,0.4
104,0.363636363636
105,0.2
106,0.714285714286
107,0.384615384615
108,0.833333333333
109,0.615384615385
110,0.352941176471
111,0.190476190476
112,0.5
113,0.8
114,0.380952380952
115,0.3125
116,0.5
117,0.294117647059
118,0.307692307692
119,0.47619047619
120,0.344827586207
121,0.714285714286
122,0.4
123,0.3125
124,0.454545454545
125,0.538461538462
126,0.625
127,0.346153846154
128,1.0
129,0.6
130,0.375
131,0.375
132,0.461538461538
133,0.5
134,0.375
135,0.428571428571
136,0.333333333333
137,0.272727272727
138,0.375
139,0.444444444444
140,0.5
141,0.5
142,0.636363636364
143,0.428571428571
144,1.0
145,1.0
146,0.307692307692
147,0.368421052632
148,0.4375
149,0.363636363636
150,0.461538461538
151,0.571428571429
152,0.583333333333
153,0.5
154,0.363636363636
155,0.545454545455
156,0.8
157,0.205882352941
158,0.363636363636
159,1.0
160,0.384615384615
161,0.538461538462
162,0.571428571429
163,0.5
164,0.384615384615
165,1.0
166,0.241379310345
167,0.666666666667
168,0.636363636364
169,0.307692307692
170,0.444444444444
171,0.352941176471
172,0.6
173,1.0
174,0.5
